date,confirmed_sum,deaths_sum,recovered_sum,case,increment
2020-01-23,654,18,30,Confirmed,99
2020-01-23,654,18,30,Deaths,1
2020-01-23,654,18,30,Recovered,2
2020-01-24,941,26,36,Confirmed,287
2020-01-24,941,26,36,Deaths,8
2020-01-24,941,26,36,Recovered,6
2020-01-25,1434,42,39,Confirmed,493
2020-01-25,1434,42,39,Deaths,16
2020-01-25,1434,42,39,Recovered,3
2020-01-26,2118,56,52,Confirmed,684
2020-01-26,2118,56,52,Deaths,14
2020-01-26,2118,56,52,Recovered,13
2020-01-27,2927,82,61,Confirmed,809
2020-01-27,2927,82,61,Deaths,26
2020-01-27,2927,82,61,Recovered,9
2020-01-28,5578,131,107,Confirmed,2651
2020-01-28,5578,131,107,Deaths,49
2020-01-28,5578,131,107,Recovered,46
2020-01-29,6166,133,126,Confirmed,588
2020-01-29,6166,133,126,Deaths,2
2020-01-29,6166,133,126,Recovered,19
2020-01-30,8234,171,143,Confirmed,2068
2020-01-30,8234,171,143,Deaths,38
2020-01-30,8234,171,143,Recovered,17
2020-01-31,9927,213,222,Confirmed,1693
2020-01-31,9927,213,222,Deaths,42
2020-01-31,9927,213,222,Recovered,79
2020-02-01,12038,259,284,Confirmed,2111
2020-02-01,12038,259,284,Deaths,46
2020-02-01,12038,259,284,Recovered,62
2020-02-02,16787,362,472,Confirmed,4749
2020-02-02,16787,362,472,Deaths,103
2020-02-02,16787,362,472,Recovered,188
2020-02-03,19887,426,623,Confirmed,3100
2020-02-03,19887,426,623,Deaths,64
2020-02-03,19887,426,623,Recovered,151
2020-02-04,23898,492,852,Confirmed,4011
2020-02-04,23898,492,852,Deaths,66
2020-02-04,23898,492,852,Recovered,229
2020-02-05,27642,564,1124,Confirmed,3744
2020-02-05,27642,564,1124,Deaths,72
2020-02-05,27642,564,1124,Recovered,272
2020-02-06,30801,634,1487,Confirmed,3159
2020-02-06,30801,634,1487,Deaths,70
2020-02-06,30801,634,1487,Recovered,363
2020-02-07,34397,719,2011,Confirmed,3596
2020-02-07,34397,719,2011,Deaths,85
2020-02-07,34397,719,2011,Recovered,524
2020-02-08,37130,806,2616,Confirmed,2733
2020-02-08,37130,806,2616,Deaths,87
2020-02-08,37130,806,2616,Recovered,605
2020-02-09,40161,906,3244,Confirmed,3031
2020-02-09,40161,906,3244,Deaths,100
2020-02-09,40161,906,3244,Recovered,628
2020-02-10,42768,1013,3946,Confirmed,2607
2020-02-10,42768,1013,3946,Deaths,107
2020-02-10,42768,1013,3946,Recovered,702
2020-02-11,44809,1113,4683,Confirmed,2041
2020-02-11,44809,1113,4683,Deaths,100
2020-02-11,44809,1113,4683,Recovered,737
2020-02-12,45228,1118,5149,Confirmed,419
2020-02-12,45228,1118,5149,Deaths,5
2020-02-12,45228,1118,5149,Recovered,466
2020-02-13,60376,1371,6294,Confirmed,15148
2020-02-13,60376,1371,6294,Deaths,253
2020-02-13,60376,1371,6294,Recovered,1145
2020-02-14,66894,1523,8057,Confirmed,6518
2020-02-14,66894,1523,8057,Deaths,152
2020-02-14,66894,1523,8057,Recovered,1763
2020-02-15,69039,1666,9394,Confirmed,2145
2020-02-15,69039,1666,9394,Deaths,143
2020-02-15,69039,1666,9394,Recovered,1337
2020-02-16,71233,1770,10864,Confirmed,2194
2020-02-16,71233,1770,10864,Deaths,104
2020-02-16,71233,1770,10864,Recovered,1470
2020-02-17,73268,1868,12582,Confirmed,2035
2020-02-17,73268,1868,12582,Deaths,98
2020-02-17,73268,1868,12582,Recovered,1718
2020-02-18,75146,2007,14351,Confirmed,1878
2020-02-18,75146,2007,14351,Deaths,139
2020-02-18,75146,2007,14351,Recovered,1769
2020-02-19,75650,2122,16120,Confirmed,504
2020-02-19,75650,2122,16120,Deaths,115
2020-02-19,75650,2122,16120,Recovered,1769
2020-02-20,76210,2247,18176,Confirmed,560
2020-02-20,76210,2247,18176,Deaths,125
2020-02-20,76210,2247,18176,Recovered,2056
2020-02-21,76833,2251,18887,Confirmed,623
2020-02-21,76833,2251,18887,Deaths,4
2020-02-21,76833,2251,18887,Recovered,711
2020-02-22,78586,2458,22883,Confirmed,1753
2020-02-22,78586,2458,22883,Deaths,207
2020-02-22,78586,2458,22883,Recovered,3996
2020-02-23,78977,2469,23391,Confirmed,391
2020-02-23,78977,2469,23391,Deaths,11
2020-02-23,78977,2469,23391,Recovered,508
2020-02-24,79542,2629,25224,Confirmed,565
2020-02-24,79542,2629,25224,Deaths,160
2020-02-24,79542,2629,25224,Recovered,1833
2020-02-25,80393,2708,27902,Confirmed,851
2020-02-25,80393,2708,27902,Deaths,79
2020-02-25,80393,2708,27902,Recovered,2678
2020-02-26,81370,2770,30381,Confirmed,977
2020-02-26,81370,2770,30381,Deaths,62
2020-02-26,81370,2770,30381,Recovered,2479
2020-02-27,82733,2814,33271,Confirmed,1363
2020-02-27,82733,2814,33271,Deaths,44
2020-02-27,82733,2814,33271,Recovered,2890
2020-02-28,84106,2872,36705,Confirmed,1373
2020-02-28,84106,2872,36705,Deaths,58
2020-02-28,84106,2872,36705,Recovered,3434
2020-02-29,86005,2941,39776,Confirmed,1899
2020-02-29,86005,2941,39776,Deaths,69
2020-02-29,86005,2941,39776,Recovered,3071
2020-03-01,88383,2996,42710,Confirmed,2378
2020-03-01,88383,2996,42710,Deaths,55
2020-03-01,88383,2996,42710,Recovered,2934
2020-03-02,90356,3085,45596,Confirmed,1973
2020-03-02,90356,3085,45596,Deaths,89
2020-03-02,90356,3085,45596,Recovered,2886
2020-03-03,92933,3160,48222,Confirmed,2577
2020-03-03,92933,3160,48222,Deaths,75
2020-03-03,92933,3160,48222,Recovered,2626
2020-03-04,95235,3254,51164,Confirmed,2302
2020-03-04,95235,3254,51164,Deaths,94
2020-03-04,95235,3254,51164,Recovered,2942
2020-03-05,98023,3347,53790,Confirmed,2788
2020-03-05,98023,3347,53790,Deaths,93
2020-03-05,98023,3347,53790,Recovered,2626
2020-03-06,101971,3459,55859,Confirmed,3948
2020-03-06,101971,3459,55859,Deaths,112
2020-03-06,101971,3459,55859,Recovered,2069
2020-03-07,106004,3558,58351,Confirmed,4033
2020-03-07,106004,3558,58351,Deaths,99
2020-03-07,106004,3558,58351,Recovered,2492
2020-03-08,109963,3801,60686,Confirmed,3959
2020-03-08,109963,3801,60686,Deaths,243
2020-03-08,109963,3801,60686,Recovered,2335
2020-03-09,113844,3987,62485,Confirmed,3881
2020-03-09,113844,3987,62485,Deaths,186
2020-03-09,113844,3987,62485,Recovered,1799
2020-03-10,118880,4263,64396,Confirmed,5036
2020-03-10,118880,4263,64396,Deaths,276
2020-03-10,118880,4263,64396,Recovered,1911
2020-03-11,126546,4611,66994,Confirmed,7666
