date,confirmed_sum,deaths_sum,recovered_sum,case,increment
2020-01-23,654,18,30,Confirmed,99
2020-01-23,654,18,30,Deaths,1
2020-01-23,654,18,30,Recovered,2
2020-01-24,941,26,35,Confirmed,287
2020-01-24,941,26,35,Deaths,8
2020-01-24,941,26,35,Recovered,5
2020-01-25,1434,42,38,Confirmed,493
2020-01-25,1434,42,38,Deaths,16
2020-01-25,1434,42,38,Recovered,3
2020-01-26,2118,56,51,Confirmed,684
2020-01-26,2118,56,51,Deaths,14
2020-01-26,2118,56,51,Recovered,13
2020-01-27,2927,82,58,Confirmed,809
2020-01-27,2927,82,58,Deaths,26
2020-01-27,2927,82,58,Recovered,7
2020-01-28,5578,131,103,Confirmed,2651
2020-01-28,5578,131,103,Deaths,49
2020-01-28,5578,131,103,Recovered,45
2020-01-29,6166,133,120,Confirmed,588
2020-01-29,6166,133,120,Deaths,2
2020-01-29,6166,133,120,Recovered,17
2020-01-30,8234,171,136,Confirmed,2068
2020-01-30,8234,171,136,Deaths,38
2020-01-30,8234,171,136,Recovered,16
2020-01-31,9927,213,209,Confirmed,1693
2020-01-31,9927,213,209,Deaths,42
2020-01-31,9927,213,209,Recovered,73
2020-02-01,12038,259,267,Confirmed,2111
2020-02-01,12038,259,267,Deaths,46
2020-02-01,12038,259,267,Recovered,58
2020-02-02,16787,362,447,Confirmed,4749
2020-02-02,16787,362,447,Deaths,103
2020-02-02,16787,362,447,Recovered,180
2020-02-03,19887,426,590,Confirmed,3100
2020-02-03,19887,426,590,Deaths,64
2020-02-03,19887,426,590,Recovered,143
2020-02-04,23898,492,804,Confirmed,4011
2020-02-04,23898,492,804,Deaths,66
2020-02-04,23898,492,804,Recovered,214
2020-02-05,27643,564,1050,Confirmed,3745
2020-02-05,27643,564,1050,Deaths,72
2020-02-05,27643,564,1050,Recovered,246
2020-02-06,30802,634,1391,Confirmed,3159
2020-02-06,30802,634,1391,Deaths,70
2020-02-06,30802,634,1391,Recovered,341
2020-02-07,34395,719,1871,Confirmed,3593
2020-02-07,34395,719,1871,Deaths,85
2020-02-07,34395,719,1871,Recovered,480
2020-02-08,37129,806,2429,Confirmed,2734
2020-02-08,37129,806,2429,Deaths,87
2020-02-08,37129,806,2429,Recovered,558
2020-02-09,40159,906,3015,Confirmed,3030
2020-02-09,40159,906,3015,Deaths,100
2020-02-09,40159,906,3015,Recovered,586
2020-02-10,42768,1013,3658,Confirmed,2609
2020-02-10,42768,1013,3658,Deaths,107
2020-02-10,42768,1013,3658,Recovered,643
2020-02-11,44810,1113,4365,Confirmed,2042
2020-02-11,44810,1113,4365,Deaths,100
2020-02-11,44810,1113,4365,Recovered,707
2020-02-12,45228,1118,4789,Confirmed,418
2020-02-12,45228,1118,4789,Deaths,5
2020-02-12,45228,1118,4789,Recovered,424
2020-02-13,60381,1371,5876,Confirmed,15153
2020-02-13,60381,1371,5876,Deaths,253
2020-02-13,60381,1371,5876,Recovered,1087
2020-02-14,66908,1523,7527,Confirmed,6527
2020-02-14,66908,1523,7527,Deaths,152
2020-02-14,66908,1523,7527,Recovered,1651
2020-02-15,69050,1666,8769,Confirmed,2142
2020-02-15,69050,1666,8769,Deaths,143
2020-02-15,69050,1666,8769,Recovered,1242
2020-02-16,71234,1770,10163,Confirmed,2184
2020-02-16,71234,1770,10163,Deaths,104
2020-02-16,71234,1770,10163,Recovered,1394
2020-02-17,73269,1868,11780,Confirmed,2035
2020-02-17,73269,1868,11780,Deaths,98
2020-02-17,73269,1868,11780,Recovered,1617
2020-02-18,75151,2008,13484,Confirmed,1882
2020-02-18,75151,2008,13484,Deaths,140
2020-02-18,75151,2008,13484,Recovered,1704
2020-02-19,75651,2123,15181,Confirmed,500
2020-02-19,75651,2123,15181,Deaths,115
2020-02-19,75651,2123,15181,Recovered,1697
2020-02-20,76211,2248,17125,Confirmed,560
2020-02-20,76211,2248,17125,Deaths,125
2020-02-20,76211,2248,17125,Recovered,1944
2020-02-21,76840,2252,17669,Confirmed,629
2020-02-21,76840,2252,17669,Deaths,4
2020-02-21,76840,2252,17669,Recovered,544
2020-02-22,78601,2459,21515,Confirmed,1761
2020-02-22,78601,2459,21515,Deaths,207
2020-02-22,78601,2459,21515,Recovered,3846
2020-02-23,78979,2470,21937,Confirmed,378
2020-02-23,78979,2470,21937,Deaths,11
2020-02-23,78979,2470,21937,Recovered,422
2020-02-24,79543,2630,23669,Confirmed,564
2020-02-24,79543,2630,23669,Deaths,160
2020-02-24,79543,2630,23669,Recovered,1732
2020-02-25,80396,2710,26260,Confirmed,853
2020-02-25,80396,2710,26260,Deaths,80
2020-02-25,80396,2710,26260,Recovered,2591
2020-02-26,81373,2771,28683,Confirmed,977
2020-02-26,81373,2771,28683,Deaths,61
2020-02-26,81373,2771,28683,Recovered,2423
2020-02-27,82737,2814,31507,Confirmed,1364
2020-02-27,82737,2814,31507,Deaths,43
2020-02-27,82737,2814,31507,Recovered,2824
2020-02-28,84114,2873,34875,Confirmed,1377
2020-02-28,84114,2873,34875,Deaths,59
2020-02-28,84114,2873,34875,Recovered,3368
2020-02-29,86009,2942,37861,Confirmed,1895
2020-02-29,86009,2942,37861,Deaths,69
2020-02-29,86009,2942,37861,Recovered,2986
2020-03-01,88386,2996,40717,Confirmed,2377
2020-03-01,88386,2996,40717,Deaths,54
2020-03-01,88386,2996,40717,Recovered,2856
2020-03-02,90360,3085,43575,Confirmed,1974
2020-03-02,90360,3085,43575,Deaths,89
2020-03-02,90360,3085,43575,Recovered,2858
2020-03-03,92938,3160,46162,Confirmed,2578
2020-03-03,92938,3160,46162,Deaths,75
2020-03-03,92938,3160,46162,Recovered,2587
2020-03-04,95237,3255,49090,Confirmed,2299
2020-03-04,95237,3255,49090,Deaths,95
2020-03-04,95237,3255,49090,Recovered,2928
2020-03-05,98028,3348,51700,Confirmed,2791
2020-03-05,98028,3348,51700,Deaths,93
2020-03-05,98028,3348,51700,Recovered,2610
2020-03-06,101971,3460,53743,Confirmed,3943
2020-03-06,101971,3460,53743,Deaths,112
2020-03-06,101971,3460,53743,Recovered,2043
2020-03-07,106009,3559,56221,Confirmed,4038
2020-03-07,106009,3559,56221,Deaths,99
2020-03-07,106009,3559,56221,Recovered,2478
2020-03-08,109960,3803,58543,Confirmed,3951
2020-03-08,109960,3803,58543,Deaths,244
2020-03-08,109960,3803,58543,Recovered,2322
2020-03-09,113860,3987,60323,Confirmed,3900
2020-03-09,113860,3987,60323,Deaths,184
2020-03-09,113860,3987,60323,Recovered,1780
2020-03-10,118884,4266,62226,Confirmed,5024
2020-03-10,118884,4266,62226,Deaths,279
2020-03-10,118884,4266,62226,Recovered,1903
2020-03-11,126547,4611,64819,Confirmed,7663
