date,confirmed_sum,deaths_sum,recovered_sum,New Case
2020-01-22,555,17,28,NA
2020-01-23,654,18,30,99
2020-01-24,941,26,35,287
2020-01-25,1434,42,38,493
2020-01-26,2118,56,51,684
2020-01-27,2927,82,58,809
2020-01-28,5578,131,103,2651
2020-01-29,6166,133,120,588
2020-01-30,8234,171,136,2068
2020-01-31,9927,213,209,1693
2020-02-01,12038,259,267,2111
2020-02-02,16787,362,447,4749
2020-02-03,19887,426,590,3100
2020-02-04,23898,492,804,4011
2020-02-05,27643,564,1050,3745
2020-02-06,30802,634,1391,3159
2020-02-07,34395,719,1871,3593
2020-02-08,37129,806,2429,2734
2020-02-09,40159,906,3015,3030
2020-02-10,42768,1013,3658,2609
2020-02-11,44810,1113,4365,2042
2020-02-12,45228,1118,4789,418
2020-02-13,60381,1371,5876,15153
2020-02-14,66908,1523,7527,6527
2020-02-15,69050,1666,8769,2142
2020-02-16,71234,1770,10163,2184
2020-02-17,73269,1868,11780,2035
2020-02-18,75151,2008,13484,1882
2020-02-19,75651,2123,15181,500
2020-02-20,76211,2248,17125,560
2020-02-21,76840,2252,17669,629
2020-02-22,78601,2459,21515,1761
2020-02-23,78979,2470,21937,378
2020-02-24,79543,2630,23669,564
2020-02-25,80396,2710,26260,853
2020-02-26,81373,2771,28683,977
2020-02-27,82737,2814,31507,1364
2020-02-28,84114,2873,34875,1377
2020-02-29,86009,2942,37861,1895
2020-03-01,88386,2996,40717,2377
2020-03-02,90360,3085,43575,1974
2020-03-03,92938,3160,46162,2578
2020-03-04,95237,3255,49090,2299
2020-03-05,98028,3348,51700,2791
2020-03-06,101971,3460,53743,3943
2020-03-07,106009,3559,56221,4038
2020-03-08,109960,3803,58543,3951
2020-03-09,113860,3987,60323,3900
2020-03-10,118884,4266,62226,5024
2020-03-11,126547,4611,64819,7663
2020-03-12,132297,4916,66134,5750
2020-03-13,146704,5413,68053,14407
2020-03-14,157795,5830,70420,11091
2020-03-15,168941,6471,73824,11146
2020-03-16,183597,7151,75871,14656
2020-03-17,199434,7955,78622,15837
2020-03-18,219028,8852,81101,19594
2020-03-19,246949,9958,82737,27921
2020-03-20,276534,11436,85178,29585
2020-03-21,308842,13142,89438,32308
2020-03-22,342255,14840,95649,33413
2020-03-23,384420,16757,96114,42165
2020-03-24,425559,19027,105645,41139
2020-03-25,476376,21803,111353,50817
2020-03-26,539336,24810,119715,62960
2020-03-27,603736,28328,128408,64400
2020-03-28,671344,32007,136691,67608
2020-03-29,730921,35480,146155,59577
2020-03-30,795560,39644,161574,64639
2020-03-31,871976,44488,173911,76416
2020-04-01,948197,50042,189248,76221
2020-04-02,1029598,56347,205870,81401
2020-04-03,1112752,62332,220860,83154
2020-04-04,1193128,68173,240853,80376
2020-04-05,1264846,73194,254212,71718
2020-04-06,1337518,79026,270561,72672
2020-04-07,1414391,86928,293315,76873
2020-04-08,1498166,93663,321572,83775
2020-04-09,1584791,101285,345822,86625
2020-04-10,1672449,108557,366850,87658
2020-04-11,1749169,114625,392293,76720
2020-04-12,1845951,120356,411100,96782
2020-04-13,1915545,126103,437572,69594
2020-04-14,1985472,132999,462025,69927
2020-04-15,2066301,141311,497706,80829
2020-04-16,2163013,148594,527644,96712
2020-04-17,2250737,157484,552685,87724
2020-04-18,2324083,163942,576113,73346
2020-04-19,2404790,168525,606670,80707
2020-04-20,2478129,173968,627692,73339
2020-04-21,2553289,181120,661651,75160
2020-04-22,2630185,187879,690480,76896
2020-04-23,2719198,194729,718518,89013
2020-04-24,2806138,201402,767880,86940
2020-04-25,2890259,206980,794668,84121
2020-04-26,2963206,210863,822141,72947
2020-04-27,3031926,215510,848209,68720
2020-04-28,3107209,221973,880258,75283
2020-04-29,3184143,228736,921128,76934
2020-04-30,3267936,234703,984777,83793
2020-05-01,3354984,239879,1021512,87048
2020-05-02,3435571,245204,1061255,80587
2020-05-03,3513207,248657,1092281,77636
2020-05-04,3589284,252785,1124935,76077
2020-05-05,3669273,258655,1160320,79989
2020-05-06,3759295,265321,1204743,90022
2020-05-07,3848381,270729,1242957,89086
2020-05-08,3939898,276296,1278435,91517
2020-05-09,4023533,280562,1330593,83635
2020-05-10,4099779,284127,1363013,76246
2020-05-11,4176020,287599,1408767,76241
2020-05-12,4259383,293140,1444546,83363
2020-05-13,4344370,298369,1499069,84987
2020-05-14,4441475,303637,1537641,97105
2020-05-15,4537824,308852,1584632,96349
2020-05-16,4629637,313011,1640231,91813
2020-05-17,4708146,316340,1680330,78509
2020-05-18,4796430,319631,1732343,88284
2020-05-19,4892854,324412,1782943,96424
2020-05-20,4995696,329286,1841150,102842
