date,confirmed_sum,deaths_sum,recovered_sum,case,increment
2020-01-23,654,18,30,Confirmed,99
2020-01-23,654,18,30,Deaths,1
2020-01-23,654,18,30,Recovered,2
2020-01-24,941,26,36,Confirmed,287
2020-01-24,941,26,36,Deaths,8
2020-01-24,941,26,36,Recovered,6
2020-01-25,1434,42,39,Confirmed,493
2020-01-25,1434,42,39,Deaths,16
2020-01-25,1434,42,39,Recovered,3
2020-01-26,2118,56,52,Confirmed,684
2020-01-26,2118,56,52,Deaths,14
2020-01-26,2118,56,52,Recovered,13
2020-01-27,2927,82,61,Confirmed,809
2020-01-27,2927,82,61,Deaths,26
2020-01-27,2927,82,61,Recovered,9
2020-01-28,5578,131,107,Confirmed,2651
2020-01-28,5578,131,107,Deaths,49
2020-01-28,5578,131,107,Recovered,46
2020-01-29,6166,133,125,Confirmed,588
2020-01-29,6166,133,125,Deaths,2
2020-01-29,6166,133,125,Recovered,18
2020-01-30,8234,171,141,Confirmed,2068
2020-01-30,8234,171,141,Deaths,38
2020-01-30,8234,171,141,Recovered,16
2020-01-31,9927,213,218,Confirmed,1693
2020-01-31,9927,213,218,Deaths,42
2020-01-31,9927,213,218,Recovered,77
2020-02-01,12038,259,279,Confirmed,2111
2020-02-01,12038,259,279,Deaths,46
2020-02-01,12038,259,279,Recovered,61
2020-02-02,16787,362,456,Confirmed,4749
2020-02-02,16787,362,456,Deaths,103
2020-02-02,16787,362,456,Recovered,177
2020-02-03,19887,426,599,Confirmed,3100
2020-02-03,19887,426,599,Deaths,64
2020-02-03,19887,426,599,Recovered,143
2020-02-04,23898,492,816,Confirmed,4011
2020-02-04,23898,492,816,Deaths,66
2020-02-04,23898,492,816,Recovered,217
2020-02-05,27643,564,1066,Confirmed,3745
2020-02-05,27643,564,1066,Deaths,72
2020-02-05,27643,564,1066,Recovered,250
2020-02-06,30802,634,1411,Confirmed,3159
2020-02-06,30802,634,1411,Deaths,70
2020-02-06,30802,634,1411,Recovered,345
2020-02-07,34395,719,1891,Confirmed,3593
2020-02-07,34395,719,1891,Deaths,85
2020-02-07,34395,719,1891,Recovered,480
2020-02-08,37129,806,2453,Confirmed,2734
2020-02-08,37129,806,2453,Deaths,87
2020-02-08,37129,806,2453,Recovered,562
2020-02-09,40159,906,3039,Confirmed,3030
2020-02-09,40159,906,3039,Deaths,100
2020-02-09,40159,906,3039,Recovered,586
2020-02-10,42768,1013,3695,Confirmed,2609
2020-02-10,42768,1013,3695,Deaths,107
2020-02-10,42768,1013,3695,Recovered,656
2020-02-11,44810,1113,4397,Confirmed,2042
2020-02-11,44810,1113,4397,Deaths,100
2020-02-11,44810,1113,4397,Recovered,702
2020-02-12,45228,1118,4823,Confirmed,418
2020-02-12,45228,1118,4823,Deaths,5
2020-02-12,45228,1118,4823,Recovered,426
2020-02-13,60381,1371,5903,Confirmed,15153
2020-02-13,60381,1371,5903,Deaths,253
2020-02-13,60381,1371,5903,Recovered,1080
2020-02-14,66908,1523,7577,Confirmed,6527
2020-02-14,66908,1523,7577,Deaths,152
2020-02-14,66908,1523,7577,Recovered,1674
2020-02-15,69050,1666,8860,Confirmed,2142
2020-02-15,69050,1666,8860,Deaths,143
2020-02-15,69050,1666,8860,Recovered,1283
2020-02-16,71234,1770,10277,Confirmed,2184
2020-02-16,71234,1770,10277,Deaths,104
2020-02-16,71234,1770,10277,Recovered,1417
2020-02-17,73269,1868,11904,Confirmed,2035
2020-02-17,73269,1868,11904,Deaths,98
2020-02-17,73269,1868,11904,Recovered,1627
2020-02-18,75151,2008,13636,Confirmed,1882
2020-02-18,75151,2008,13636,Deaths,140
2020-02-18,75151,2008,13636,Recovered,1732
2020-02-19,75651,2123,15335,Confirmed,500
2020-02-19,75651,2123,15335,Deaths,115
2020-02-19,75651,2123,15335,Recovered,1699
2020-02-20,76211,2248,17291,Confirmed,560
2020-02-20,76211,2248,17291,Deaths,125
2020-02-20,76211,2248,17291,Recovered,1956
2020-02-21,76840,2252,17871,Confirmed,629
2020-02-21,76840,2252,17871,Deaths,4
2020-02-21,76840,2252,17871,Recovered,580
2020-02-22,78601,2459,21743,Confirmed,1761
2020-02-22,78601,2459,21743,Deaths,207
2020-02-22,78601,2459,21743,Recovered,3872
2020-02-23,78979,2470,22189,Confirmed,378
2020-02-23,78979,2470,22189,Deaths,11
2020-02-23,78979,2470,22189,Recovered,446
2020-02-24,79543,2630,23923,Confirmed,564
2020-02-24,79543,2630,23923,Deaths,160
2020-02-24,79543,2630,23923,Recovered,1734
2020-02-25,80396,2710,26523,Confirmed,853
2020-02-25,80396,2710,26523,Deaths,80
2020-02-25,80396,2710,26523,Recovered,2600
2020-02-26,81373,2771,28943,Confirmed,977
2020-02-26,81373,2771,28943,Deaths,61
2020-02-26,81373,2771,28943,Recovered,2420
2020-02-27,82737,2814,31779,Confirmed,1364
2020-02-27,82737,2814,31779,Deaths,43
2020-02-27,82737,2814,31779,Recovered,2836
2020-02-28,84114,2873,35160,Confirmed,1377
2020-02-28,84114,2873,35160,Deaths,59
2020-02-28,84114,2873,35160,Recovered,3381
2020-02-29,86009,2942,38167,Confirmed,1895
2020-02-29,86009,2942,38167,Deaths,69
2020-02-29,86009,2942,38167,Recovered,3007
2020-03-01,88386,2996,41055,Confirmed,2377
2020-03-01,88386,2996,41055,Deaths,54
2020-03-01,88386,2996,41055,Recovered,2888
2020-03-02,90360,3085,43927,Confirmed,1974
2020-03-02,90360,3085,43927,Deaths,89
2020-03-02,90360,3085,43927,Recovered,2872
2020-03-03,92938,3160,46522,Confirmed,2578
2020-03-03,92938,3160,46522,Deaths,75
2020-03-03,92938,3160,46522,Recovered,2595
2020-03-04,95237,3255,49460,Confirmed,2299
2020-03-04,95237,3255,49460,Deaths,95
2020-03-04,95237,3255,49460,Recovered,2938
2020-03-05,98028,3348,52078,Confirmed,2791
2020-03-05,98028,3348,52078,Deaths,93
2020-03-05,98028,3348,52078,Recovered,2618
2020-03-06,101971,3460,54140,Confirmed,3943
2020-03-06,101971,3460,54140,Deaths,112
2020-03-06,101971,3460,54140,Recovered,2062
2020-03-07,106009,3559,56630,Confirmed,4038
2020-03-07,106009,3559,56630,Deaths,99
2020-03-07,106009,3559,56630,Recovered,2490
2020-03-08,109960,3803,58962,Confirmed,3951
2020-03-08,109960,3803,58962,Deaths,244
2020-03-08,109960,3803,58962,Recovered,2332
2020-03-09,113860,3987,60761,Confirmed,3900
2020-03-09,113860,3987,60761,Deaths,184
2020-03-09,113860,3987,60761,Recovered,1799
2020-03-10,118884,4266,62672,Confirmed,5024
2020-03-10,118884,4266,62672,Deaths,279
2020-03-10,118884,4266,62672,Recovered,1911
2020-03-11,126547,4611,65268,Confirmed,7663
