date,status,cases
2020-01-22,Confirmed,555
2020-01-22,Deaths,17
2020-01-22,Recovered,28
2020-01-23,Confirmed,654
2020-01-23,Deaths,18
2020-01-23,Recovered,30
2020-01-24,Confirmed,941
2020-01-24,Deaths,26
2020-01-24,Recovered,36
2020-01-25,Confirmed,1434
2020-01-25,Deaths,42
2020-01-25,Recovered,39
2020-01-26,Confirmed,2118
2020-01-26,Deaths,56
2020-01-26,Recovered,52
2020-01-27,Confirmed,2927
2020-01-27,Deaths,82
2020-01-27,Recovered,61
2020-01-28,Confirmed,5578
2020-01-28,Deaths,131
2020-01-28,Recovered,107
2020-01-29,Confirmed,6166
2020-01-29,Deaths,133
2020-01-29,Recovered,125
2020-01-30,Confirmed,8234
2020-01-30,Deaths,171
2020-01-30,Recovered,141
2020-01-31,Confirmed,9927
2020-01-31,Deaths,213
2020-01-31,Recovered,218
2020-02-01,Confirmed,12038
2020-02-01,Deaths,259
2020-02-01,Recovered,279
2020-02-02,Confirmed,16787
2020-02-02,Deaths,362
2020-02-02,Recovered,456
2020-02-03,Confirmed,19887
2020-02-03,Deaths,426
2020-02-03,Recovered,599
2020-02-04,Confirmed,23898
2020-02-04,Deaths,492
2020-02-04,Recovered,816
2020-02-05,Confirmed,27643
2020-02-05,Deaths,564
2020-02-05,Recovered,1066
2020-02-06,Confirmed,30802
2020-02-06,Deaths,634
2020-02-06,Recovered,1411
2020-02-07,Confirmed,34395
2020-02-07,Deaths,719
2020-02-07,Recovered,1891
2020-02-08,Confirmed,37129
2020-02-08,Deaths,806
2020-02-08,Recovered,2453
2020-02-09,Confirmed,40159
2020-02-09,Deaths,906
2020-02-09,Recovered,3039
2020-02-10,Confirmed,42768
2020-02-10,Deaths,1013
2020-02-10,Recovered,3695
2020-02-11,Confirmed,44810
2020-02-11,Deaths,1113
2020-02-11,Recovered,4397
2020-02-12,Confirmed,45228
2020-02-12,Deaths,1118
2020-02-12,Recovered,4823
2020-02-13,Confirmed,60381
2020-02-13,Deaths,1371
2020-02-13,Recovered,5903
2020-02-14,Confirmed,66908
2020-02-14,Deaths,1523
2020-02-14,Recovered,7577
2020-02-15,Confirmed,69050
2020-02-15,Deaths,1666
2020-02-15,Recovered,8860
2020-02-16,Confirmed,71234
2020-02-16,Deaths,1770
2020-02-16,Recovered,10277
2020-02-17,Confirmed,73269
2020-02-17,Deaths,1868
2020-02-17,Recovered,11904
2020-02-18,Confirmed,75151
2020-02-18,Deaths,2008
2020-02-18,Recovered,13636
2020-02-19,Confirmed,75651
2020-02-19,Deaths,2123
2020-02-19,Recovered,15335
2020-02-20,Confirmed,76211
2020-02-20,Deaths,2248
2020-02-20,Recovered,17291
2020-02-21,Confirmed,76840
2020-02-21,Deaths,2252
2020-02-21,Recovered,17871
2020-02-22,Confirmed,78601
2020-02-22,Deaths,2459
2020-02-22,Recovered,21743
2020-02-23,Confirmed,78979
2020-02-23,Deaths,2470
2020-02-23,Recovered,22189
2020-02-24,Confirmed,79543
2020-02-24,Deaths,2630
2020-02-24,Recovered,23923
2020-02-25,Confirmed,80396
2020-02-25,Deaths,2710
2020-02-25,Recovered,26523
2020-02-26,Confirmed,81373
2020-02-26,Deaths,2771
2020-02-26,Recovered,28943
2020-02-27,Confirmed,82737
2020-02-27,Deaths,2814
2020-02-27,Recovered,31779
2020-02-28,Confirmed,84114
2020-02-28,Deaths,2873
2020-02-28,Recovered,35160
2020-02-29,Confirmed,86009
2020-02-29,Deaths,2942
2020-02-29,Recovered,38167
2020-03-01,Confirmed,88386
2020-03-01,Deaths,2996
2020-03-01,Recovered,41055
2020-03-02,Confirmed,90360
2020-03-02,Deaths,3085
2020-03-02,Recovered,43927
2020-03-03,Confirmed,92938
2020-03-03,Deaths,3160
2020-03-03,Recovered,46522
2020-03-04,Confirmed,95237
2020-03-04,Deaths,3255
2020-03-04,Recovered,49460
2020-03-05,Confirmed,98028
2020-03-05,Deaths,3348
2020-03-05,Recovered,52078
2020-03-06,Confirmed,101971
2020-03-06,Deaths,3460
2020-03-06,Recovered,54140
2020-03-07,Confirmed,106009
2020-03-07,Deaths,3559
2020-03-07,Recovered,56630
2020-03-08,Confirmed,109960
2020-03-08,Deaths,3803
2020-03-08,Recovered,58962
2020-03-09,Confirmed,113860
2020-03-09,Deaths,3987
2020-03-09,Recovered,60761
2020-03-10,Confirmed,118884
2020-03-10,Deaths,4266
2020-03-10,Recovered,62672
2020-03-11,Confirmed,126547
2020-03-11,Deaths,4611
2020-03-11,Recovered,65268
2020-03-12,Confirmed,132297
2020-03-12,Deaths,4916
2020-03-12,Recovered,66588
2020-03-13,Confirmed,146704
2020-03-13,Deaths,5413
2020-03-13,Recovered,68513
2020-03-14,Confirmed,157795
2020-03-14,Deaths,5830
2020-03-14,Recovered,70881
2020-03-15,Confirmed,168941
2020-03-15,Deaths,6471
2020-03-15,Recovered,74291
2020-03-16,Confirmed,183600
2020-03-16,Deaths,7151
2020-03-16,Recovered,76341
2020-03-17,Confirmed,199444
2020-03-17,Deaths,7955
2020-03-17,Recovered,79093
2020-03-18,Confirmed,219037
2020-03-18,Deaths,8852
2020-03-18,Recovered,81576
2020-03-19,Confirmed,246955
2020-03-19,Deaths,9958
2020-03-19,Recovered,83213
2020-03-20,Confirmed,276564
2020-03-20,Deaths,11436
2020-03-20,Recovered,85657
2020-03-21,Confirmed,308842
2020-03-21,Deaths,13142
2020-03-21,Recovered,89918
2020-03-22,Confirmed,342255
2020-03-22,Deaths,14840
2020-03-22,Recovered,96133
2020-03-23,Confirmed,384420
2020-03-23,Deaths,16757
2020-03-23,Recovered,96598
2020-03-24,Confirmed,425559
2020-03-24,Deaths,19027
2020-03-24,Recovered,106133
2020-03-25,Confirmed,476376
2020-03-25,Deaths,21804
2020-03-25,Recovered,111841
2020-03-26,Confirmed,539336
2020-03-26,Deaths,24811
2020-03-26,Recovered,120205
2020-03-27,Confirmed,603736
2020-03-27,Deaths,28329
2020-03-27,Recovered,128901
2020-03-28,Confirmed,671344
2020-03-28,Deaths,32008
2020-03-28,Recovered,137184
2020-03-29,Confirmed,730921
2020-03-29,Deaths,35481
2020-03-29,Recovered,146648
2020-03-30,Confirmed,795560
2020-03-30,Deaths,39645
2020-03-30,Recovered,162071
2020-03-31,Confirmed,871976
2020-03-31,Deaths,44489
2020-03-31,Recovered,174411
2020-04-01,Confirmed,948197
2020-04-01,Deaths,50043
2020-04-01,Recovered,189748
2020-04-02,Confirmed,1029598
2020-04-02,Deaths,56348
2020-04-02,Recovered,206372
2020-04-03,Confirmed,1112752
2020-04-03,Deaths,62333
2020-04-03,Recovered,221367
2020-04-04,Confirmed,1193128
2020-04-04,Deaths,68174
2020-04-04,Recovered,241369
2020-04-05,Confirmed,1264846
2020-04-05,Deaths,73195
2020-04-05,Recovered,254755
2020-04-06,Confirmed,1337518
2020-04-06,Deaths,79027
2020-04-06,Recovered,271118
2020-04-07,Confirmed,1414391
2020-04-07,Deaths,86929
2020-04-07,Recovered,293890
2020-04-08,Confirmed,1498166
2020-04-08,Deaths,93664
2020-04-08,Recovered,322164
2020-04-09,Confirmed,1584791
2020-04-09,Deaths,101293
2020-04-09,Recovered,346423
2020-04-10,Confirmed,1672449
2020-04-10,Deaths,108565
2020-04-10,Recovered,367464
2020-04-11,Confirmed,1749169
2020-04-11,Deaths,114634
2020-04-11,Recovered,392910
2020-04-12,Confirmed,1845951
2020-04-12,Deaths,120365
2020-04-12,Recovered,411725
2020-04-13,Confirmed,1915545
2020-04-13,Deaths,126112
2020-04-13,Recovered,438201
2020-04-14,Confirmed,1985472
2020-04-14,Deaths,133011
2020-04-14,Recovered,462683
2020-04-15,Confirmed,2066301
2020-04-15,Deaths,141323
2020-04-15,Recovered,498381
2020-04-16,Confirmed,2163013
2020-04-16,Deaths,148606
2020-04-16,Recovered,528323
2020-04-17,Confirmed,2250737
2020-04-17,Deaths,157497
2020-04-17,Recovered,553386
2020-04-18,Confirmed,2324265
2020-04-18,Deaths,163968
2020-04-18,Recovered,576822
2020-04-19,Confirmed,2404790
2020-04-19,Deaths,168538
2020-04-19,Recovered,607389
2020-04-20,Confirmed,2478129
2020-04-20,Deaths,173981
2020-04-20,Recovered,628433
2020-04-21,Confirmed,2553379
2020-04-21,Deaths,181138
2020-04-21,Recovered,662396
2020-04-22,Confirmed,2630185
2020-04-22,Deaths,187893
